答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
65,E_307_518a675dffb53a74d5d59193_4YDNxETM,30-45 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边|游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:22:32,2022-02-04 16:25:22,02分50秒,上海市,上海市,183.193.141.21,Chrome 96.0.4664.45,Windows 10
66,E_307_6041e3d71b24254e1f7d21f7_4YDNxETM,19-29 岁,女,本科,10000-15000 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,洛天依|柳叶熙,娱乐消费，能够带来快乐,花过，1000 元以上,每月 501 到 1000 元,漫画等周边|线上/线下 演唱会,漫画等周边|线上/线下 演唱会,虚拟偶像种类:41.0|相关产品的丰富度:19.0|付费价格:40.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:22:13,2022-02-04 16:25:24,03分11秒,河北省,衡水市,183.199.171.75,Chrome 80.0.3987.99,Android Linux 10
67,E_307_61f4b69633f0c4d2431869d8_4YDNxETM,19-29 岁,女,大专,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),自由职业者,柳叶熙,精神寄托,花过，501 元到 1000 元,每月 201 至 500 元,漫画等周边,漫画等周边,虚拟偶像种类:60.0|相关产品的丰富度:40.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:22:59,2022-02-04 16:25:29,02分30秒,浙江省,杭州市,36.19.230.150,Chrome 86.0.4240.99,Android Linux 11
68,E_307_5f8d9b507654804b41ae8732_4YDNxETM,19-29 岁,男,本科,10000-15000 元,华北地区(包括北京、天津、河北、山西、内蒙古),企业管理人员,洛天依|A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 到 200 元,代言品牌|线上/线下 演唱会,代言品牌|线上/线下 演唱会,虚拟偶像种类:27.0|相关产品的丰富度:22.0|付费价格:37.0|其他:14.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:23:02,2022-02-04 16:25:32,02分30秒,河北省,张家口市,183.197.188.77,Chrome 83.0.4103.106,Android Linux 11
69,E_307_60e55b831b24255762cd8d99_4YDNxETM,19-29 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,精神寄托|审美需要,花过，200至 500 元,每月 50 到 200 元,直播打赏|漫画等周边|线上/线下 演唱会|游戏,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:24.0|相关产品的丰富度:28.0|付费价格:28.0|其他:20.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:22:59,2022-02-04 16:25:32,02分33秒,江苏省,南京市,49.78.205.152,Chrome 74.0.3729.136,Android Linux 9
70,E_307_61fc5dfd1b2425ff3faaff41_4YDNxETM,19-29 岁,女,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边|游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:22:28,2022-02-04 16:25:32,03分04秒,北京市,北京市,221.219.189.37,Chrome 88.0.4324.93,Android Linux 10
71,E_307_61b1a04e33f0c4c47ba436de_4YDNxETM,19-29 岁,女,本科,10000-15000 元,东北地区（包括黑龙江、吉林、辽宁）,普通职员,洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,娱乐消费，能够带来快乐|审美需要,花过，501 元到 1000 元,每月 50 到 200 元,漫画等周边|线上/线下 演唱会|游戏,漫画等周边|线上/线下 演唱会,虚拟偶像种类:37.0|相关产品的丰富度:26.0|付费价格:37.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:23:12,2022-02-04 16:25:41,02分29秒,山东省,东营市,27.202.1.89,Chrome 88.0.4324.93,Android Linux 10
72,E_307_61f0dc2d1b2425ff3e9f7e90_4YDNxETM,19-29 岁,男,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像的外型设计,不愿付费（跳转 14 题）,线上/线下 演唱会|游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:23:12,2022-02-04 16:25:42,02分30秒,,,39.144.65.77,Chrome 88.0.4324.93,Android Linux 10
73,E_307_6055787c1b242597d4bd94e8_4YDNxETM,19-29 岁,男,大专,10000-15000 元,西南地区（包括重庆、程度、云南、贵州、西藏）,自由职业者,初音未来|洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200至 500 元,每月 50 到 200 元,直播打赏|代言品牌,直播打赏|代言品牌,虚拟偶像种类:48.0|相关产品的丰富度:34.0|付费价格:13.0|其他:5.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:22:14,2022-02-04 16:25:44,03分30秒,辽宁省,大连市,223.102.38.79,Chrome 64.0.3282.137,Android Linux 7.0
74,E_307_601c05271b24258f2975124c_4YDNxETM,19-29 岁,女,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,有，我需要虚拟偶像。,虚拟偶像的才艺多样化,每月 50 元以下,代言品牌|漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:23:12,2022-02-04 16:25:44,02分32秒,黑龙江省,哈尔滨市,42.102.224.48,Chrome 87.0.4280.101,Android Linux 10
75,E_307_6049f73c33f0c4307aa8e2ad_4YDNxETM,19-29 岁,女,大专,2000-4999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定,花过，200至 500 元,每月 50 到 200 元,漫画等周边,线上/线下 演唱会,虚拟偶像种类:69.0|相关产品的丰富度:31.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:22:48,2022-02-04 16:25:52,03分04秒,浙江省,杭州市,223.104.247.0,Chrome 86.0.4240.99,Android Linux 10
76,E_307_6030769133f0c4032832abca_4YDNxETM,30-45 岁,男,本科,10000-15000 元,华中地区(包括湖北、湖南、河南),政府/事业单位人员,初音未来|洛天依|aespa,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，501 元到 1000 元,每月 201 至 500 元,直播打赏|代言品牌|游戏,直播打赏|漫画等周边|线上/线下 演唱会,虚拟偶像种类:30.0|相关产品的丰富度:24.0|付费价格:35.0|其他:11.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:23:11,2022-02-04 16:25:53,02分42秒,上海市,上海市,114.87.244.225,Chrome 70.0.3538.110,Android Linux 8.1.0
77,E_307_60c6ac821b242588e7e3bb0c_4YDNxETM,19-29 岁,女,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,初音未来|洛天依|柳叶熙|aespa,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,从未,,,,,可以，我觉得虚拟偶像能满足我的需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,直播打赏|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:23:00,2022-02-04 16:25:53,02分53秒,广东省,广州市,14.25.46.9,Chrome 87.0.4280.101,Android Linux 10
78,E_307_60586a831b242597d4c95e0a_4YDNxETM,19-29 岁,女,大专,5000-9999 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,洛天依,精神寄托,花过，200至 500 元,每月 201 至 500 元,漫画等周边,代言品牌|线上/线下 演唱会,虚拟偶像种类:61.0|相关产品的丰富度:39.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 16:23:15,2022-02-04 16:25:53,02分38秒,浙江省,杭州市,183.158.207.186,Chrome 62.0.3202.84,Android Linux 8.1.0
79,E_307_604781e833f0c4ab076901cf_4YDNxETM,46 岁及以上,男,硕士研究生,15001-20000 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定|审美需要,花过，1000 元以上,每月 1000 元以上,直播打赏|代言品牌|线上/线下 演唱会,直播打赏|漫画等周边|游戏,虚拟偶像种类:13.0|相关产品的丰富度:39.0|付费价格:43.0|其他:5.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:23:13,2022-02-04 16:25:54,02分41秒,上海市,上海市,112.65.48.87,Chrome 79.0.3945.116,Android Linux 9
80,E_307_598dd9d2c1a87d31b18eb639_4YDNxETM,30-45 岁,女,本科,10000-15000 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,初音未来|柳叶熙,娱乐消费，能够带来快乐,花过，200 元以下,每月 50 元以下,代言品牌,代言品牌,虚拟偶像种类:24.0|相关产品的丰富度:22.0|付费价格:54.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:23:31,2022-02-04 16:26:04,02分33秒,香港特别行政区,,138.19.103.93,Chrome 97.0.4692.98,Android Linux 12
81,E_307_5ffff07033f0c4273de406ce_4YDNxETM,19-29 岁,女,博士研究生及以上,20000 元以上,华北地区(包括北京、天津、河北、山西、内蒙古),个体经营者/承包商,初音未来|洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,娱乐消费，能够带来快乐,花过，1000 元以上,每月 501 到 1000 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:58.0|相关产品的丰富度:21.0|付费价格:21.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:23:51,2022-02-04 16:26:20,02分29秒,河北省,衡水市,123.180.201.77,Chrome 88.0.4324.93,Android Linux 10
82,E_307_61527e8433f0c42c502ed438_4YDNxETM,19-29 岁,女,大专,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,漫画等周边|线上/线下 演唱会|游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 16:22:43,2022-02-04 16:26:23,03分40秒,浙江省,杭州市,223.104.247.185,Chrome 68.0.3440.91,Android Linux 9
83,E_307_518a673effb53a74b7eaffee_4YDNxETM,30-45 岁,男,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,洛天依,精神寄托,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边,代言品牌|漫画等周边,虚拟偶像种类:44.0|相关产品的丰富度:41.0|付费价格:15.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:23:50,2022-02-04 16:26:28,02分38秒,,,39.144.43.28,Unknown Browser,iPhone iOS 14.7.1
84,E_307_6103f92733f0c42845a0e7bc_4YDNxETM,19-29 岁,女,本科,2000 元以下,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,直播打赏|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:22:54,2022-02-04 16:26:29,03分35秒,广东省,东莞市,120.235.31.184,Unknown Browser,iPhone iOS 15.2.1
85,E_307_54805f7bc1a87d3217e22f16_4YDNxETM,30-45 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,代言品牌,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:23:57,2022-02-04 16:26:36,02分39秒,江苏省,苏州市,121.224.95.64,AndroidBrowser,Android Linux 4.4.4
86,E_307_60f16b411b24254c4349c7bf_4YDNxETM,19-29 岁,女,硕士研究生,15001-20000 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),自由职业者,初音未来|洛天依,不会塌房，追星更加稳定|精神寄托,花过，501 元到 1000 元,每月 50 到 200 元,直播打赏|漫画等周边,直播打赏|线上/线下 演唱会,虚拟偶像种类:13.0|相关产品的丰富度:48.0|付费价格:26.0|其他:13.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:24:08,2022-02-04 16:26:37,02分29秒,湖南省,长沙市,119.44.45.182,Chrome 88.0.4324.93,Android Linux 10
87,E_307_5d24b57bc461313bcb3b158f_4YDNxETM,30-45 岁,女,本科,2000-4999 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,代言品牌,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:24:12,2022-02-04 16:26:41,02分29秒,内蒙古自治区,呼和浩特市,111.126.202.108,Chrome 86.0.4240.99,Android Linux 10
88,E_307_61fce13b33f0c4d2431e5a28_4YDNxETM,19-29 岁,男,大专,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通工人,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,不愿付费（跳转 14 题）,线上/线下 演唱会,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:24:08,2022-02-04 16:26:48,02分40秒,山东省,青岛市,223.80.76.234,Chrome 88.0.4324.93,Android Linux 10
89,E_307_61c3f7001b24259c2deb3730_4YDNxETM,19-29 岁,女,本科,10000-15000 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,初音未来|洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200至 500 元,每月 50 元以下,漫画等周边|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:13.0|相关产品的丰富度:20.0|付费价格:34.0|其他:33.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:24:27,2022-02-04 16:26:56,02分29秒,福建省,厦门市,211.97.128.88,Unknown Browser,iPhone iOS 15.0.2
90,E_307_587f348f611ebf740bdd85f4_4YDNxETM,19-29 岁,女,大专,10000-15000 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),自由职业者,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 201 至 500 元,漫画等周边|线上/线下 演唱会,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:24:18,2022-02-04 16:26:59,02分41秒,天津市,天津市,221.197.235.157,Chrome 89.0.4389.116,Android Linux 8.1.0
91,E_307_603c921533f0c46bbf5d517d_4YDNxETM,19-29 岁,男,本科,15001-20000 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),个体经营者/承包商,初音未来|洛天依,不会塌房，追星更加稳定,花过，501 元到 1000 元,每月 50 到 200 元,直播打赏|代言品牌|游戏,直播打赏|代言品牌|游戏,虚拟偶像种类:40.0|相关产品的丰富度:26.0|付费价格:26.0|其他:8.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:23:36,2022-02-04 16:27:00,03分24秒,辽宁省,大连市,223.104.177.115,Chrome 86.0.4240.99,Android Linux 7.0
92,E_307_610f69c933f0c45b8aa90733_4YDNxETM,30-45 岁,女,本科,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:24:29,2022-02-04 16:27:02,02分33秒,广东省,广州市,113.103.7.190,Unknown Browser,iPhone iOS 12.5.5
93,E_307_5ff6f06c765480166f49dcea_4YDNxETM,19-29 岁,女,本科,15001-20000 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,洛天依|A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定|精神寄托,花过，501 元到 1000 元,每月 50 到 200 元,代言品牌|漫画等周边,直播打赏|线上/线下 演唱会,虚拟偶像种类:43.0|相关产品的丰富度:37.0|付费价格:8.0|其他:12.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:23:38,2022-02-04 16:27:03,03分25秒,河北省,张家口市,116.131.223.223,Chrome 83.0.4103.106,Android Linux 11
94,E_307_6124fdb41b242593e06b9251_4YDNxETM,19-29 岁,男,本科,2000-4999 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,洛天依,精神寄托,花过，200至 500 元,每月 50 到 200 元,代言品牌,代言品牌,虚拟偶像种类:30.0|相关产品的丰富度:25.0|付费价格:20.0|其他:25.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:24:26,2022-02-04 16:27:10,02分44秒,山西省,朔州市,123.175.7.193,Chrome 83.0.4103.106,Android Linux 11
95,E_307_518a68e2ffb53a74cbbcdcc9_4YDNxETM,19-29 岁,女,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边|线上/线下 演唱会,漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:20.0|相关产品的丰富度:23.0|付费价格:30.0|其他:27.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:24:44,2022-02-04 16:27:16,02分32秒,,,39.144.44.89,Chrome 83.0.4103.106,Android Linux 10
96,E_307_61f7ed1b33f0c4d2441c7e5c_4YDNxETM,30-45 岁,女,硕士研究生,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,洛天依|柳叶熙|aespa,娱乐消费，能够带来快乐|精神寄托,花过，501 元到 1000 元,每月 50 到 200 元,直播打赏|漫画等周边|游戏,直播打赏|漫画等周边|线上/线下 演唱会,虚拟偶像种类:26.0|相关产品的丰富度:54.0|付费价格:20.0|其他:0.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:24:22,2022-02-04 16:27:28,03分06秒,黑龙江省,哈尔滨市,223.104.17.244,Chrome 68.0.3440.91,Android Linux 9
97,E_307_604ff79d1b2425790c0a8cfc_4YDNxETM,19-29 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，501 元到 1000 元,每月 50 到 200 元,代言品牌|漫画等周边|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:27.0|相关产品的丰富度:25.0|付费价格:24.0|其他:24.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:24:40,2022-02-04 16:27:31,02分51秒,江苏省,连云港市,223.104.147.225,Chrome 68.0.3440.91,Android Linux 9
98,E_307_61e403821b2425f187728e8e_4YDNxETM,19-29 岁,女,本科,10000-15000 元,华中地区(包括湖北、湖南、河南),企业管理人员,初音未来|A-SOUL（嘉然今天吃什么）|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|审美需要,花过，501 元到 1000 元,每月 201 至 500 元,直播打赏|漫画等周边|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:12.0|相关产品的丰富度:25.0|付费价格:30.0|其他:33.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:24:43,2022-02-04 16:27:31,02分48秒,黑龙江省,绥化市,1.63.148.142,Chrome 83.0.4103.106,Android Linux 10
99,E_307_605dc80833f0c493441400b4_4YDNxETM,19-29 岁,女,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),个体经营者/承包商,A-SOUL（嘉然今天吃什么）,审美需要,花过，501 元到 1000 元,每月 201 至 500 元,线上/线下 演唱会,漫画等周边,虚拟偶像种类:71.0|相关产品的丰富度:29.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,不太清楚,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:23:51,2022-02-04 16:27:32,03分41秒,浙江省,杭州市,223.104.244.19,Chrome 86.0.4240.99,Android Linux 10
