答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
77,E_307_6196035f33f0c4986f026295_yMDNxETM,19-29 岁,女,大专,2000-4999 元,华中地区(包括湖北、湖南、河南),普通工人,A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定,花过，501 元到 1000 元,每月 201 至 500 元,漫画等周边|线上/线下 演唱会,游戏,虚拟偶像种类:14.0|相关产品的丰富度:20.0|付费价格:30.0|其他:36.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:38:55,2022-02-04 11:43:04,04分09秒,吉林省,,117.136.6.110,Chrome 55.0.2883.91,Android Linux 7.1.1
78,E_307_61f117b333f0c4d243151d8d_yMDNxETM,30-45 岁,女,本科,5000-9999 元,华中地区(包括湖北、湖南、河南),政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 201 至 500 元,漫画等周边,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,没有,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 11:38:47,2022-02-04 11:43:07,04分20秒,黑龙江省,哈尔滨市,42.100.230.91,Chrome 88.0.4324.93,Android Linux 10
79,E_307_61f7ed1b33f0c4d2441c7e5c_yMDNxETM,30-45 岁,女,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,洛天依|柳叶熙,精神寄托|审美需要,花过，200 元以下,每月 201 至 500 元,代言品牌|漫画等周边|线上/线下 演唱会,直播打赏|代言品牌|线上/线下 演唱会,虚拟偶像种类:29.0|相关产品的丰富度:53.0|付费价格:18.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 11:40:31,2022-02-04 11:43:09,02分38秒,黑龙江省,大庆市,117.136.7.106,Chrome 68.0.3440.91,Android Linux 9
80,E_307_61fb90641b2425ff3da06f44_yMDNxETM,19-29 岁,男,本科,2000-4999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,不愿付费（跳转 14 题）,游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:40:19,2022-02-04 11:43:22,03分03秒,云南省,楚雄彝族自治州,39.128.126.30,Chrome 90.0.4430.210,Android Linux 11
81,E_307_5f40cf5dc46131549a531115_yMDNxETM,30-45 岁,男,本科,10000-15000 元,华中地区(包括湖北、湖南、河南),企业管理人员,初音未来|洛天依|柳叶熙,不会塌房，追星更加稳定|精神寄托|审美需要,花过，501 元到 1000 元,每月 501 到 1000 元,直播打赏|代言品牌|线上/线下 演唱会,直播打赏|漫画等周边|线上/线下 演唱会,虚拟偶像种类:11.0|相关产品的丰富度:53.0|付费价格:23.0|其他:13.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:40:07,2022-02-04 11:43:24,03分17秒,上海市,上海市,101.229.91.125,Chrome 80.0.3987.87,Windows 10
82,E_307_5c416d86c1a87d5167ce14fc_yMDNxETM,19-29 岁,女,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通工人,洛天依,娱乐消费，能够带来快乐,从未,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,代言品牌,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 11:41:11,2022-02-04 11:43:40,02分29秒,,,36.143.0.246,Chrome 83.0.4103.106,Android Linux 10
83,E_307_60f545911b24254c424ed604_yMDNxETM,19-29 岁,女,本科,2000 元以下,华北地区(包括北京、天津、河北、山西、内蒙古),学生,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|审美需要,花过，200至 500 元,每月 201 至 500 元,代言品牌,代言品牌,虚拟偶像种类:47.0|相关产品的丰富度:53.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:41:15,2022-02-04 11:43:47,02分32秒,山西省,忻州市,183.200.218.15,Chrome 88.0.4324.93,Android Linux 10
84,E_307_61e8fbe51b2425ff3c9619d4_yMDNxETM,19-29 岁,男,本科,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),学生,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定|精神寄托|审美需要,花过，200至 500 元,每月 50 元以下,代言品牌|漫画等周边|游戏,代言品牌|游戏,虚拟偶像种类:25.0|相关产品的丰富度:32.0|付费价格:39.0|其他:4.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:32:57,2022-02-04 11:43:48,10分51秒,黑龙江省,绥化市,60.15.135.78,Unknown Browser,iPhone iOS 15.2.1
85,E_307_61fc9b941b2425ff3da0dd4c_yMDNxETM,19-29 岁,男,大专,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,漫画等周边|游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:41:09,2022-02-04 11:43:48,02分39秒,广东省,汕头市,183.46.99.91,Chrome 92.0.4515.131,Android Linux 12
86,E_307_61b1670f1b2425697a267404_yMDNxETM,30-45 岁,女,大专,暂无收入,华北地区(包括北京、天津、河北、山西、内蒙古),其他:全职妈妈,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,其他:不感兴趣,不愿付费（跳转 14 题）,其他:不喜欢,不太清楚,不太清楚,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 11:40:40,2022-02-04 11:43:54,03分14秒,北京市,北京市,103.25.28.219,Unknown Browser,iPhone iOS 14.6
87,E_307_61ce1a771b24255c130f1ae5_yMDNxETM,12岁以下,男,初中及以下,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,初音未来,娱乐消费，能够带来快乐|精神寄托,花过，200至 500 元,不愿付费,,,,可以，我觉得虚拟偶像能满足我的需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,代言品牌|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:40:52,2022-02-04 11:43:58,03分06秒,黑龙江省,绥化市,60.15.136.43,Chrome 86.0.4240.99,Android Linux 9
88,E_307_5b5ee0b6c1a87d1740d4671b_yMDNxETM,19-29 岁,男,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来|洛天依,娱乐消费，能够带来快乐,从未,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的外型设计,不愿付费（跳转 14 题）,代言品牌|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:40:30,2022-02-04 11:44:01,03分31秒,广东省,广州市,218.20.124.121,Chrome 86.0.4240.198,Windows 7
89,E_307_5df08196c46131728c3144b3_yMDNxETM,30-45 岁,女,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),个体经营者/承包商,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,每月 50 元以下,代言品牌,不太清楚,不太清楚,会，虚拟偶像不容易塌房。,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 11:41:17,2022-02-04 11:44:04,02分47秒,浙江省,绍兴市,39.170.237.104,Chrome 80.0.3987.99,Android Linux 9
90,E_307_61ce7ae433f0c47da5af3851_yMDNxETM,19-29 岁,女,本科,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),其他:舞蹈老师,初音未来|洛天依,娱乐消费，能够带来快乐,花过，200至 500 元,每月 50 到 200 元,漫画等周边|游戏,漫画等周边,虚拟偶像种类:41.0|相关产品的丰富度:25.0|付费价格:34.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 11:40:56,2022-02-04 11:44:06,03分10秒,广东省,深圳市,116.25.145.180,Chrome 90.0.4430.210,Android Linux 11
91,E_307_60f162a61b24254c4449ab09_yMDNxETM,19-29 岁,男,本科,暂无收入,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,代言品牌|线上/线下 演唱会,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 11:41:45,2022-02-04 11:44:16,02分31秒,河北省,石家庄市,221.192.178.194,Chrome 88.0.4324.93,Android Linux 10
92,E_307_616832b21b2425a869dda634_yMDNxETM,19-29 岁,女,本科,2000 元以下,西南地区（包括重庆、程度、云南、贵州、西藏）,自由职业者,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,代言品牌|漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 11:41:47,2022-02-04 11:44:16,02分29秒,重庆市,重庆市,113.249.217.202,Chrome 88.0.4324.93,Android Linux 10
93,E_307_60d55dcb1b24259bde8d6843_yMDNxETM,19-29 岁,女,本科,5000-9999 元,华中地区(包括湖北、湖南、河南),企业管理人员,初音未来|洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200 元以下,每月 50 元以下,代言品牌|漫画等周边,代言品牌|漫画等周边,虚拟偶像种类:20.0|相关产品的丰富度:32.0|付费价格:39.0|其他:9.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:41:48,2022-02-04 11:44:19,02分31秒,河南省,新乡市,42.226.14.82,Chrome 83.0.4103.101,Android Linux 10
94,E_307_61b453a11b2425dade48bf6c_yMDNxETM,19-29 岁,女,硕士研究生,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,线上/线下 演唱会|游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:41:49,2022-02-04 11:44:24,02分35秒,河北省,承德市,110.245.161.198,Chrome 83.0.4103.106,Android Linux 10
95,E_307_604b48be1b2425790cff6f10_yMDNxETM,30-45 岁,女,本科,5000-9999 元,东北地区（包括黑龙江、吉林、辽宁）,企业管理人员,洛天依|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|审美需要,花过，200至 500 元,每月 50 到 200 元,直播打赏,代言品牌|线上/线下 演唱会,虚拟偶像种类:100.0|相关产品的丰富度:0.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:41:47,2022-02-04 11:44:24,02分37秒,辽宁省,沈阳市,59.152.39.132,Chrome 70.0.3538.110,Android Linux 8.1.0
96,E_307_518a6d38ffb53a74cbbe40c4_yMDNxETM,46 岁及以上,男,本科,15001-20000 元,华北地区(包括北京、天津、河北、山西、内蒙古),政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,代言品牌|漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 11:41:38,2022-02-04 11:44:28,02分50秒,北京市,北京市,111.192.98.242,Firefox 96.0,Windows 10
97,E_307_61ced1dd33f0c47da3af878f_yMDNxETM,19-29 岁,女,本科,5000-9999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，501 元到 1000 元,每月 201 至 500 元,直播打赏|代言品牌|漫画等周边,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:21.0|相关产品的丰富度:44.0|付费价格:19.0|其他:16.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:42:03,2022-02-04 11:44:31,02分28秒,重庆市,重庆市,125.86.110.80,Unknown Browser,iPhone iOS 15.0.2
98,E_307_605bbf881b242597d3cf91ae_yMDNxETM,30-45 岁,男,硕士研究生,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托|审美需要,花过，200 元以下,不愿付费,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的外型设计,每月 50 元以下,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:42:02,2022-02-04 11:44:35,02分33秒,,,223.104.114.44,Chrome 86.0.4240.99,Android Linux 11
99,E_307_5f0aa1cdc4613166df341adb_yMDNxETM,46 岁及以上,女,初中及以下,暂无收入,华北地区(包括北京、天津、河北、山西、内蒙古),自由职业者,A-SOUL（嘉然今天吃什么）|我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,不愿付费（跳转 14 题）,线上/线下 演唱会,不太清楚,没有,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 11:41:36,2022-02-04 11:44:40,03分04秒,山东省,德州市,111.16.159.123,Unknown Browser,iPhone iOS 12.5.5
100,E_307_6030769133f0c4032832abca_yMDNxETM,46 岁及以上,男,硕士研究生,15001-20000 元,华北地区(包括北京、天津、河北、山西、内蒙古),自由职业者,洛天依|柳叶熙|aespa,不会塌房，追星更加稳定|精神寄托,花过，1000 元以上,每月 201 至 500 元,直播打赏|漫画等周边|游戏,直播打赏|代言品牌|漫画等周边,虚拟偶像种类:21.0|相关产品的丰富度:17.0|付费价格:38.0|其他:24.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:42:03,2022-02-04 11:44:40,02分37秒,上海市,上海市,114.87.244.225,Chrome 70.0.3538.110,Android Linux 8.1.0
101,E_307_619f195633f0c498710e49da_yMDNxETM,30-45 岁,女,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),个体经营者/承包商,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的才艺多样化,每月 50 元以下,直播打赏|游戏,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:40:55,2022-02-04 11:44:44,03分49秒,黑龙江省,哈尔滨市,113.5.5.55,Chrome 86.0.4240.99,Android Linux 10
102,E_307_6114782333f0c47c86232e83_yMDNxETM,19-29 岁,男,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,直播打赏|漫画等周边,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,没有,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 11:40:45,2022-02-04 11:44:45,04分00秒,江苏省,南京市,117.89.94.15,ChromiumEdge 97.0.1072.76,Windows 10
103,E_307_61e8c2b633f0c4d2430cf012_yMDNxETM,19-29 岁,女,本科,2000 元以下,东北地区（包括黑龙江、吉林、辽宁）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,漫画等周边|游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:42:20,2022-02-04 11:44:51,02分31秒,辽宁省,铁岭市,113.236.64.84,Unknown Browser,iPhone iOS 13.6.1
104,E_307_6105382133f0c42847b2c4f4_yMDNxETM,19-29 岁,女,硕士研究生,5000-9999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,政府/事业单位人员,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|审美需要,花过，501 元到 1000 元,每月 50 到 200 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:18.0|相关产品的丰富度:26.0|付费价格:49.0|其他:7.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:42:22,2022-02-04 11:44:57,02分35秒,河北省,保定市,121.18.137.2,Unknown Browser,iPhone iOS 14.4.1
105,E_307_61f2469033f0c4d243163495_yMDNxETM,30-45 岁,男,本科,5000-9999 元,华中地区(包括湖北、湖南、河南),自由职业者,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像的才艺多样化,每月 50 到 200 元,代言品牌|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:42:31,2022-02-04 11:45:03,02分32秒,黑龙江省,哈尔滨市,42.100.137.217,Chrome 83.0.4103.106,Android Linux 10
106,E_307_60e8655433f0c4081818c87e_yMDNxETM,19-29 岁,女,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,代言品牌|漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 11:41:26,2022-02-04 11:45:05,03分39秒,,,39.144.159.247,Chrome 87.0.4280.141,Android Linux 11
107,E_307_6169610c1b2425515c6ece40_yMDNxETM,30-45 岁,女,高中,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,初音未来,精神寄托,花过，200 元以下,每月 50 元以下,漫画等周边,代言品牌|漫画等周边,虚拟偶像种类:45.0|相关产品的丰富度:37.0|付费价格:18.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:42:35,2022-02-04 11:45:08,02分33秒,浙江省,杭州市,125.210.239.189,Chrome 83.0.4103.106,Android Linux 11
108,E_307_61f2312033f0c4d24211c64c_yMDNxETM,30-45 岁,女,本科,10000-15000 元,华南地区(包括广东、广西、海南、澳门、香港),普通工人,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的外型设计,每月 50 到 200 元,直播打赏|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:42:37,2022-02-04 11:45:09,02分32秒,黑龙江省,大庆市,117.136.7.17,Chrome 64.0.3282.137,Android Linux 7.0
109,E_307_61f22f9a33f0c4d2431614f1_yMDNxETM,30-45 岁,男,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的才艺多样化,每月 50 到 200 元,直播打赏|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:42:33,2022-02-04 11:45:09,02分36秒,黑龙江省,哈尔滨市,113.0.210.28,Chrome 64.0.3282.137,Android Linux 7.0
110,E_307_61cbee8d33f0c41f9a8f1887_yMDNxETM,19-29 岁,女,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,初音未来|洛天依,不会塌房，追星更加稳定|精神寄托|审美需要,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边|游戏,漫画等周边|线上/线下 演唱会,虚拟偶像种类:56.0|相关产品的丰富度:20.0|付费价格:10.0|其他:14.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:39:08,2022-02-04 11:45:10,06分02秒,安徽省,合肥市,36.61.213.223,Chrome 77.0.3865.92,Android Linux 10
111,E_307_60f0285b33f0c4081b42664a_yMDNxETM,12-18 岁,男,大专,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),普通工人,A-SOUL（嘉然今天吃什么）|aespa,不会塌房，追星更加稳定|精神寄托,花过，501 元到 1000 元,每月 201 至 500 元,代言品牌,漫画等周边|线上/线下 演唱会,虚拟偶像种类:55.0|相关产品的丰富度:25.0|付费价格:8.0|其他:12.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:42:16,2022-02-04 11:45:10,02分54秒,陕西省,西安市,111.18.141.173,Chrome 79.0.3945.116,Android Linux 9
112,E_307_61f0dc2d1b2425ff3e9f7e90_yMDNxETM,19-29 岁,男,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像的外型设计,每月 50 元以下,游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 11:42:43,2022-02-04 11:45:14,02分31秒,,,39.144.65.77,Chrome 88.0.4324.93,Android Linux 10
113,E_307_60349b1033f0c403283e062b_yMDNxETM,46 岁及以上,男,本科,5000-9999 元,华中地区(包括湖北、湖南、河南),个体经营者/承包商,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,漫画等周边,不太清楚,有一小部分人,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 11:42:44,2022-02-04 11:45:14,02分30秒,湖南省,益阳市,36.157.121.194,Chrome 88.0.4324.93,Android Linux 10
