答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
124,E_307_601d30b01b24258f28779e1d_2IDNxETM,30-45 岁,女,硕士研究生,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:31:43,2022-02-04 10:34:14,02分31秒,,,223.104.113.97,Chrome 90.0.4430.210,Android Linux 11
125,E_307_6073cc3033f0c40698e999a8_2IDNxETM,19-29 岁,男,大专,2000-4999 元,华南地区(包括广东、广西、海南、澳门、香港),学生,洛天依,娱乐消费，能够带来快乐|精神寄托|审美需要,花过，200 元以下,每月 50 到 200 元,直播打赏|代言品牌,线上/线下 演唱会,虚拟偶像种类:26.0|相关产品的丰富度:40.0|付费价格:34.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:30:11,2022-02-04 10:34:14,04分03秒,广西壮族自治区,百色市,171.39.17.159,Chrome 75.0.3770.100,Windows 10
126,E_307_5a8a7882c1a87d24c03c261e_2IDNxETM,19-29 岁,女,本科,15001-20000 元,华北地区(包括北京、天津、河北、山西、内蒙古),企业管理人员,初音未来|洛天依|柳叶熙,精神寄托|审美需要,花过，1000 元以上,每月 201 至 500 元,直播打赏|代言品牌|线上/线下 演唱会,直播打赏|代言品牌|线上/线下 演唱会,虚拟偶像种类:31.0|相关产品的丰富度:30.0|付费价格:17.0|其他:22.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:31:39,2022-02-04 10:34:16,02分37秒,北京市,北京市,120.244.16.209,Chrome 83.0.4103.106,Android Linux 11
127,E_307_60e90c8633f0c4081b329c62_2IDNxETM,19-29 岁,女,本科,2000-4999 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 50 元以下,漫画等周边,不太清楚,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 10:31:05,2022-02-04 10:34:23,03分18秒,山西省,,223.104.204.23,Chrome 86.0.4240.99,Android Linux 11
128,E_307_61f555e433f0c4d2410fd172_2IDNxETM,19-29 岁,男,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,洛天依,娱乐消费，能够带来快乐,花过，200 元以下,每月 50 元以下,线上/线下 演唱会|游戏,线上/线下 演唱会,虚拟偶像种类:32.0|相关产品的丰富度:31.0|付费价格:37.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:31:56,2022-02-04 10:34:26,02分30秒,上海市,上海市,101.93.215.127,Chrome 83.0.4103.106,Android Linux 10
129,E_307_6049ac4e33f0c4ab07704384_2IDNxETM,19-29 岁,女,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,不太清楚,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 10:31:58,2022-02-04 10:34:31,02分33秒,北京市,北京市,120.244.191.81,Unknown Browser,iPhone iOS 15.3
130,E_307_60588bef33f0c493450859fa_2IDNxETM,30-45 岁,女,大专,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),普通职员,柳叶熙,精神寄托,花过，1000 元以上,每月 50 到 200 元,漫画等周边,线上/线下 演唱会,虚拟偶像种类:30.0|相关产品的丰富度:27.0|付费价格:23.0|其他:20.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:32:07,2022-02-04 10:34:39,02分32秒,北京市,北京市,117.136.0.138,Chrome 83.0.4103.106,Android Linux 11
131,E_307_60cc67501b24259bdd75ec08_2IDNxETM,30-45 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,洛天依|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200至 500 元,每月 50 元以下,直播打赏|漫画等周边,直播打赏|漫画等周边,虚拟偶像种类:19.0|相关产品的丰富度:36.0|付费价格:16.0|其他:29.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:32:16,2022-02-04 10:34:46,02分30秒,上海市,上海市,183.194.164.93,Chrome 88.0.4324.93,Android Linux 10
132,E_307_6030769133f0c4032832abca_2IDNxETM,46 岁及以上,女,本科,5000-9999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,政府/事业单位人员,初音未来|洛天依|柳叶熙,精神寄托|审美需要,花过，1000 元以上,每月 201 至 500 元,直播打赏|代言品牌|游戏,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:12.0|相关产品的丰富度:13.0|付费价格:62.0|其他:13.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:32:16,2022-02-04 10:34:53,02分37秒,上海市,上海市,114.87.244.225,Chrome 70.0.3538.110,Android Linux 8.1.0
133,E_307_60d424ca33f0c43b09fad689_2IDNxETM,30-45 岁,女,本科,10000-15000 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通工人,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,不愿付费（跳转 14 题）,线上/线下 演唱会,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 10:31:59,2022-02-04 10:34:57,02分58秒,,,223.104.42.107,Chrome 88.0.4324.93,Android Linux 10
134,E_307_6118c5d61b242577b2da15d5_2IDNxETM,19-29 岁,男,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来|洛天依,不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 201 至 500 元,代言品牌|漫画等周边,代言品牌|漫画等周边,虚拟偶像种类:24.0|相关产品的丰富度:29.0|付费价格:29.0|其他:18.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:32:52,2022-02-04 10:35:22,02分30秒,江西省,南昌市,183.217.165.241,Chrome 86.0.4240.198,Windows 10
135,E_307_61303f1433f0c433d81332f2_2IDNxETM,30-45 岁,男,硕士研究生,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,初音未来|洛天依,娱乐消费，能够带来快乐|审美需要,花过，200 元以下,每月 50 到 200 元,直播打赏|漫画等周边|游戏,代言品牌|线上/线下 演唱会|游戏,虚拟偶像种类:37.0|相关产品的丰富度:20.0|付费价格:15.0|其他:28.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 10:30:40,2022-02-04 10:35:25,04分45秒,湖南省,衡阳市,124.228.153.214,Chrome 83.0.4103.106,Android Linux 11
136,E_307_61712e7f1b242576741b1782_2IDNxETM,19-29 岁,女,大专,20000 元以上,华北地区(包括北京、天津、河北、山西、内蒙古),企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托|审美需要,花过，1000 元以上,每月 1000 元以上,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:25.0|相关产品的丰富度:30.0|付费价格:28.0|其他:17.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:32:56,2022-02-04 10:35:26,02分30秒,,,39.144.38.196,Chrome 83.0.4103.106,Android Linux 11
137,E_307_61f1f2c233f0c4d2441671bf_2IDNxETM,19-29 岁,女,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来|洛天依,娱乐消费，能够带来快乐|审美需要,花过，200至 500 元,每月 50 到 200 元,漫画等周边|游戏,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:14.0|相关产品的丰富度:37.0|付费价格:40.0|其他:9.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:32:37,2022-02-04 10:35:27,02分50秒,江西省,九江市,115.152.8.180,Unknown Browser,iPhone iOS 14.7.1
138,E_307_58e44d55611ebf0c640562ec_2IDNxETM,30-45 岁,女,硕士研究生,2000-4999 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),政府/事业单位人员,A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定|精神寄托,花过，501 元到 1000 元,每月 50 到 200 元,线上/线下 演唱会|游戏,线上/线下 演唱会,虚拟偶像种类:69.0|相关产品的丰富度:31.0|付费价格:0.0|其他:0.0,,,,,,推广意义不大，日常流量明星就已经能够满足需要,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:32:37,2022-02-04 10:35:31,02分54秒,广东省,佛山市,113.72.16.189,ChromiumEdge 97.0.1072.76,Windows 10
139,E_307_61ced1dd33f0c47da3af878f_2IDNxETM,19-29 岁,女,本科,5000-9999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,企业管理人员,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，501 元到 1000 元,每月 201 至 500 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会,直播打赏|代言品牌|漫画等周边,虚拟偶像种类:15.0|相关产品的丰富度:20.0|付费价格:28.0|其他:37.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:33:07,2022-02-04 10:35:35,02分28秒,重庆市,重庆市,125.86.110.80,Unknown Browser,iPhone iOS 15.0.2
140,E_307_56c9ca1bc1a87d114a2944c9_2IDNxETM,30-45 岁,女,本科,10000-15000 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 元以下,代言品牌|漫画等周边|游戏,代言品牌|漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:30.0|相关产品的丰富度:43.0|付费价格:19.0|其他:8.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:32:45,2022-02-04 10:35:47,03分02秒,北京市,北京市,43.224.44.74,Chrome 97.0.4692.99,Windows 10
141,E_307_611783141b242577b0d5d434_2IDNxETM,12-18 岁,女,高中,暂无收入,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 50 到 200 元,代言品牌|漫画等周边|游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:33:09,2022-02-04 10:35:48,02分39秒,湖南省,长沙市,43.250.201.20,Chrome 83.0.4103.106,Android Linux 10
142,E_307_6152d8e233f0c42c5135ddaa_2IDNxETM,19-29 岁,女,本科,5000-9999 元,华中地区(包括湖北、湖南、河南),普通职员,初音未来|洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，501 元到 1000 元,每月 50 到 200 元,漫画等周边|游戏,漫画等周边,虚拟偶像种类:29.0|相关产品的丰富度:30.0|付费价格:25.0|其他:16.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:33:28,2022-02-04 10:35:59,02分31秒,湖南省,长沙市,117.136.89.53,Chrome 81.0.4044.138,Android Linux 10
143,E_307_60d29cfc1b24259bde883a90_2IDNxETM,19-29 岁,女,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,代言品牌|游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:31:03,2022-02-04 10:35:59,04分56秒,山东省,青岛市,27.210.176.210,ChromiumEdge 98.0.1108.43,Windows 10
144,E_307_61fc734e33f0c4d244201d24_2IDNxETM,30-45 岁,女,本科,2000-4999 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,每月 50 元以下,线上/线下 演唱会,不太清楚,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:33:34,2022-02-04 10:36:04,02分30秒,陕西省,西安市,113.143.221.193,Chrome 88.0.4324.93,Android Linux 10
145,E_307_6097e62c1b2425cb5b922a42_2IDNxETM,30-45 岁,女,本科,10000-15000 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,A-SOUL（嘉然今天吃什么）,精神寄托,花过，501 元到 1000 元,每月 201 至 500 元,漫画等周边,漫画等周边,虚拟偶像种类:27.0|相关产品的丰富度:19.0|付费价格:38.0|其他:16.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:33:18,2022-02-04 10:36:07,02分49秒,北京市,北京市,123.119.164.37,Chrome 78.0.3904.96,Android Linux 10
146,E_307_53ac032d611ebf541735973f_2IDNxETM,19-29 岁,男,本科,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),普通职员,初音未来,娱乐消费，能够带来快乐|审美需要,花过，200 元以下,每月 50 元以下,漫画等周边,漫画等周边|线上/线下 演唱会,虚拟偶像种类:21.0|相关产品的丰富度:23.0|付费价格:56.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:33:38,2022-02-04 10:36:10,02分32秒,福建省,莆田市,117.26.123.219,Chrome 87.0.4280.141,Android Linux 11
147,E_307_593b2f2ac1a87d3e4db2bba3_2IDNxETM,30-45 岁,男,大专,2000-4999 元,华南地区(包括广东、广西、海南、澳门、香港),自由职业者,初音未来|洛天依,娱乐消费，能够带来快乐,花过，200 元以下,每月 50 元以下,漫画等周边|游戏,漫画等周边,虚拟偶像种类:40.0|相关产品的丰富度:20.0|付费价格:40.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:31:15,2022-02-04 10:36:11,04分56秒,广东省,广州市,14.27.44.163,Chrome 86.0.4240.198,Windows 10
148,E_307_56c2fc2ac1a87d75586dedf0_2IDNxETM,30-45 岁,男,本科,15001-20000 元,东北地区（包括黑龙江、吉林、辽宁）,企业管理人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,不愿付费（跳转 14 题）,代言品牌|漫画等周边|线上/线下 演唱会,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 10:33:41,2022-02-04 10:36:16,02分35秒,吉林省,长春市,139.214.244.165,Unknown Browser,iPhone iOS 13.3.1
149,E_307_60d89fa11b24255762b0b338_2IDNxETM,19-29 岁,女,本科,2000 元以下,华中地区(包括湖北、湖南、河南),学生,初音未来,娱乐消费，能够带来快乐,花过，200至 500 元,每月 50 到 200 元,直播打赏|漫画等周边|线上/线下 演唱会,漫画等周边,虚拟偶像种类:37.0|相关产品的丰富度:37.0|付费价格:19.0|其他:7.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:30:50,2022-02-04 10:36:16,05分26秒,河南省,焦作市,223.90.5.197,Chrome 83.0.4103.106,Android Linux 11
150,E_307_61ee9a251b2425ff3e9d37a4_2IDNxETM,19-29 岁,女,本科,2000 元以下,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,线上/线下 演唱会,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:33:37,2022-02-04 10:36:17,02分40秒,河南省,南阳市,223.104.109.239,Chrome 68.0.3440.91,Android Linux 9
151,E_307_608028fa33f0c4a80cd389fc_2IDNxETM,19-29 岁,女,大专,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,不会塌房，追星更加稳定,花过，501 元到 1000 元,每月 50 元以下,代言品牌|漫画等周边|游戏,直播打赏|漫画等周边|线上/线下 演唱会,虚拟偶像种类:54.0|相关产品的丰富度:46.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:33:58,2022-02-04 10:36:39,02分41秒,云南省,昆明市,106.57.125.226,Chrome 79.0.3945.116,Android Linux 9
152,E_307_61f49e4833f0c4d2441932b2_2IDNxETM,30-45 岁,男,大专,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),普通工人,洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙,不会塌房，追星更加稳定|精神寄托|审美需要,花过，501 元到 1000 元,每月 201 至 500 元,代言品牌|漫画等周边|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:75.0|相关产品的丰富度:25.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:34:15,2022-02-04 10:36:46,02分31秒,广东省,惠州市,223.73.36.94,Chrome 88.0.4324.93,Android Linux 10
153,E_307_60f4c2ff33f0c4284487d355_2IDNxETM,30-45 岁,男,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200至 500 元,每月 50 元以下,代言品牌|漫画等周边|线上/线下 演唱会|游戏,漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:49.0|相关产品的丰富度:51.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:34:16,2022-02-04 10:36:46,02分30秒,上海市,上海市,223.104.210.116,Chrome 88.0.4324.93,Android Linux 10
154,E_307_60a3170033f0c4871047dc69_2IDNxETM,30-45 岁,女,大专,5000-9999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,线上/线下 演唱会,不太清楚,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:34:22,2022-02-04 10:36:52,02分30秒,四川省,乐山市,139.204.174.177,Unknown Browser,iPhone iOS 15.2.1
155,E_307_600197b41b2425de8f183bda_2IDNxETM,19-29 岁,女,高中,15001-20000 元,华中地区(包括湖北、湖南、河南),自由职业者,洛天依,不会塌房，追星更加稳定|精神寄托,花过，1000 元以上,每月 50 元以下,漫画等周边|线上/线下 演唱会,直播打赏|漫画等周边,虚拟偶像种类:55.0|相关产品的丰富度:45.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:33:49,2022-02-04 10:36:58,03分09秒,云南省,昆明市,202.98.68.87,Firefox 96.0,Windows 10
156,E_307_61da4a011b2425aa71e5ff06_2IDNxETM,30-45 岁,女,大专,2000-4999 元,华南地区(包括广东、广西、海南、澳门、香港),普通工人,A-SOUL（嘉然今天吃什么）|柳叶熙,精神寄托|审美需要,花过，200 元以下,每月 50 到 200 元,漫画等周边,代言品牌|线上/线下 演唱会,虚拟偶像种类:44.0|相关产品的丰富度:23.0|付费价格:6.0|其他:27.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 10:34:30,2022-02-04 10:36:59,02分29秒,广东省,梅州市,116.5.167.143,Unknown Browser,iPhone iOS 12.4.1
157,E_307_5cfa3e1dc4613175a4c12ad2_2IDNxETM,19-29 岁,男,大专,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,初音未来|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边,直播打赏|代言品牌|漫画等周边,虚拟偶像种类:38.0|相关产品的丰富度:11.0|付费价格:21.0|其他:30.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:34:29,2022-02-04 10:37:03,02分34秒,辽宁省,沈阳市,42.249.50.117,Chrome 62.0.3202.84,Android Linux 8.1.0
158,E_307_60dee03e1b24255763bb3550_2IDNxETM,19-29 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙,精神寄托|审美需要,花过，200至 500 元,每月 50 到 200 元,直播打赏|漫画等周边|线上/线下 演唱会|游戏,代言品牌|线上/线下 演唱会|游戏,虚拟偶像种类:30.0|相关产品的丰富度:28.0|付费价格:23.0|其他:19.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:34:50,2022-02-04 10:37:28,02分38秒,江苏省,南京市,117.136.45.69,Chrome 90.0.4430.210,Android Linux 11
159,E_307_61caaf1333f0c41f978b628e_2IDNxETM,19-29 岁,女,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来|洛天依|柳叶熙,不会塌房，追星更加稳定|精神寄托|审美需要,花过，200 元以下,每月 50 元以下,代言品牌|漫画等周边|游戏,漫画等周边|游戏,虚拟偶像种类:28.0|相关产品的丰富度:35.0|付费价格:21.0|其他:16.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:34:44,2022-02-04 10:37:28,02分44秒,江苏省,连云港市,117.92.34.71,Chrome 55.0.2883.91,Android Linux 6.0.1
